동명 ,세대수 ,남 ,여 ,남(19세이상) ,여(19세이상) ,남(65세이상) ,여(65세이상) 
충현동          ,10302,9883,10624,8735,9435,1464,1902
천연동          ,7758,8143,9030,6922,7813,1285,1899
북아현동        ,7266,7722,8408,6566,7239,927,1313
신촌동          ,13824,8684,10943,7990,10255,890,1191
연희동          ,18621,16943,18313,15111,16508,2507,3386
홍제제1동       ,10401,11211,12660,9679,11091,1927,2604
홍제제2동       ,5790,6509,7285,5651,6489,1104,1592
홍제제3동       ,7076,7474,7959,6626,7185,1523,2114
홍은제1동       ,9650,10981,11762,9500,10301,1949,2570
홍은제2동       ,12323,12870,13792,11322,12299,2169,2969
남가좌제1동     ,5703,7475,8060,5749,6346,910,1209
남가좌제2동     ,13295,14393,15385,12052,13013,2048,2777
북가좌제1동     ,6900,8764,9386,7155,7880,1278,1655
북가좌제2동     ,14612,15501,16312,13659,14593,2745,3520
